date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:55	51705/51705	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Feb%202024%2020:47:23%20GMT	https://stocklypacificrealty.com/	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/index.html	(from )
21:47:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Feb%202024%2020:47:22%20GMT	https://stocklypacificrealty.com/robots.txt		(from )
21:48:00	79741/79741	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Feb%202023%2013:37:10%20GMT	https://stocklypacificrealty.com/js/vendors/bootstrap.bundle.min.js	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/js/vendors/bootstrap.bundle.min.js	(from https://stocklypacificrealty.com/)
21:48:08	344770/344770	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Mar%202023%2022:05:13%20GMT	https://stocklypacificrealty.com/css/style.css	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/css/style.css	(from https://stocklypacificrealty.com/)
21:48:08	104544/104544	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:54:04%20GMT	https://stocklypacificrealty.com/fonts/fa-brands-400.woff2	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/fa-brands-400.woff2	(from https://stocklypacificrealty.com/)
21:48:11	18212/18212	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:54:03%20GMT	https://stocklypacificrealty.com/fonts/dm-sans-v11-latin-700.woff2	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/dm-sans-v11-latin-700.woff2	(from https://stocklypacificrealty.com/)
21:48:11	18096/18096	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:54:03%20GMT	https://stocklypacificrealty.com/fonts/dm-sans-v11-latin-regular.woff2	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/dm-sans-v11-latin-regular.woff2	(from https://stocklypacificrealty.com/)
21:48:15	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2007%20Mar%202020%2009:51:48%20GMT	https://stocklypacificrealty.com/img/favicon.ico	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/favicon.ico	(from https://stocklypacificrealty.com/)
21:48:19	126828/126828	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Mar%202023%2015:54:05%20GMT	https://stocklypacificrealty.com/fonts/fa-solid-900.woff2	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/fonts/fa-solid-900.woff2	(from https://stocklypacificrealty.com/)
21:48:21	2897/2897	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Mar%202020%2010:05:06%20GMT	https://stocklypacificrealty.com/img/apple-touch-icon.png	C:/Users/TUNTECH/Desktop/trade/trading%20site/stocklypacificrealty.com/img/apple-touch-icon.png	(from https://stocklypacificrealty.com/)
